shots,fault_sigma,fault_drop_prob,strategy,episodes,mean_acc,p50_acc,mean_latency_ms,p95_latency_ms,rollback_rate,mean_alerts,ridge_chosen_rate
1,0.0,0.0,agent,200,0.9105,0.9333,443.0898,507.2082,0.0,0.0,0.0
1,0.0,0.0,agent_sentinel,200,0.9113,0.9333,452.7894,569.6697,0.0,0.415,0.0
1,0.0,0.0,proto,200,0.9164,0.9333,580.2717,889.7242,0.0,0.0,0.0
1,0.0,0.0,ridge,200,0.8993,0.92,446.5803,512.5938,0.0,0.0,1.0
1,0.05,0.0,agent,200,0.8963,0.92,460.0973,567.6904,0.0,0.0,0.0
1,0.05,0.0,agent_sentinel,200,0.8921,0.9067,440.7532,498.9731,0.0,1.31,0.0
1,0.05,0.0,proto,200,0.8985,0.92,455.6279,582.2104,0.0,0.0,0.0
1,0.05,0.0,ridge,200,0.8916,0.9067,445.5301,508.4507,0.0,0.0,1.0
1,0.1,0.0,agent,200,0.7893,0.8133,458.5836,512.1528,0.0,0.0,0.0
1,0.1,0.0,agent_sentinel,200,0.7843,0.7867,467.5714,552.5302,0.0,2.0,0.0
1,0.1,0.0,proto,200,0.7867,0.7867,455.6174,546.0983,0.0,0.0,0.0
1,0.1,0.0,ridge,200,0.7657,0.7733,494.7825,605.0821,0.0,0.0,1.0
5,0.0,0.0,agent,200,0.9716,0.9733,573.9802,683.3427,0.0,0.0,0.125
5,0.0,0.0,agent_sentinel,200,0.9713,0.9733,553.8806,614.6019,0.155,0.61,0.155
5,0.0,0.0,proto,200,0.9698,0.9733,568.657,657.4596,0.0,0.0,0.0
5,0.0,0.0,ridge,200,0.9753,0.9733,560.0805,655.096,0.0,0.0,1.0
5,0.05,0.0,agent,200,0.9593,0.9733,576.6283,693.9868,0.0,0.0,0.12
5,0.05,0.0,agent_sentinel,200,0.9661,0.9733,593.5754,728.3581,0.125,1.45,0.125
5,0.05,0.0,proto,200,0.9586,0.9733,578.5806,711.8133,0.0,0.0,0.0
5,0.05,0.0,ridge,200,0.9552,0.96,564.9624,639.0626,0.0,0.0,1.0
5,0.1,0.0,agent,200,0.9195,0.9333,559.5299,637.1378,0.0,0.0,0.11
5,0.1,0.0,agent_sentinel,200,0.9275,0.9333,573.2306,684.6214,0.16,2.0,0.16
5,0.1,0.0,proto,200,0.9177,0.9333,556.6009,626.7088,0.0,0.0,0.0
5,0.1,0.0,ridge,200,0.9033,0.92,567.0457,661.0507,0.0,0.0,1.0
